City;Latitude;Longitude;Category
Łódź;51.75;19.45;#Adopsiaki, Edukacja, Firmy 
Warszawa;52.23;46043;#Adopsiaki, Edukacja, Firmy 
Wrocław;51.10;46098;#Adopsiaki, Edukacja, Firmy 
Brzeziny;51.80;19.75;#Adopsiaki 
Gdańsk;54.35;18.64;#Adopsiaki, Firmy 
Myszków;50.57;19.32;#Adopsiaki 
Gliwice;50.29;18.67;#Adopsiaki 
Bytom;50.34;18.92;#Adopsiaki 
Tarnowskie Góry;50.44;18.85;#Adopsiaki 
Opole;50.66;17.92;#Adopsiaki, Firmy 
Jelenia Góra;50.90;15.72;#Adopsiaki 
Pabianice;51.66;19.35;#Adopsiaki 
Poddębice;51.89;18.96;#Adopsiaki 
Kraków;50.06;19.94;#Adopsiaki (Nowość 2026) 
Tarnów;50.01;20.98;#Adopsiaki (Nowość 2026) 
Szczecin;53.42;14.55;Firmy 
Lublin;51.24;22.56;Firmy 
Bydgoszcz;53.12;18.00;Firmy 
Kielce;50.86;20.62;Firmy 
